"sex","aage","AJBHRS","ancars","avote","aregion","ajbstat","ajbterm","ahhsize","atenure","afihhyr"
1,52,40,"2","2","17","2","1","4","1",17225.869140625
2,54,17,"2","2","3","2","1","4","5",15035.12109375
2,25,35,"3","1","7","2","1","3","2",33254.21484375
2,49,35,"2","1","2","2","1","4","2",25115.890625
2,39,18,"3","1","4","2","1","4","2",47034.50390625
1,37,37,"1","2","13","2","1","1","3",19834.599609375
1,30,42,"0","2","3","2","1","2","3",17833.81640625
1,20,37,"2","1","3","2","1","2","7",18788.93359375
1,40,36,"3","2","13","2","1","3","1",25903.60546875
1,39,50,"1","2","3","2","1","5","3",18549.1953125
1,32,37,"2","3","4","2","1","4","2",18490.923828125
1,50,39,"2","3","4","2","1","3","1",35680.34375
1,35,38,"1","2","9","2","1","4","2",25137.05859375
2,23,37,"3","1","11","2","1","4","2",74926.21875
2,27,39,"1","1","1","2","1","3","2",28491.2578125
2,16,40,"1","11","8","2","1","3","2",20370.041015625
1,40,37,"1","3","12","1","1","3","2",18611.130859375
2,23,35,"1","6","1","2","1","2","7",7780.775390625
2,18,39,"0","2","17","2","1","5","3",22206.224609375
1,20,39,"1","2","17","2","1","4","3",24408.126953125
1,26,39,"3","2","13","2","1","4","3",22582.43359375
2,37,10,"1","1","3","2","1","4","4",19722.869140625
1,28,40,"1","2","11","2","1","2","2",13735.220703125
1,40,39,"1","1","7","2","1","4","2",19097.15625
2,23,37,"1","2","5","2","1","2","2",18048.701171875
1,34,40,"2","2","3","2","1","2","2",32576.572265625
2,46,37,"1","1","3","2","1","2","2",17576.015625
1,30,39,"1","2","18","2","1","3","3",9844.13671875
2,45,16,"1","1","3","2","1","3","2",21113.697265625
1,30,38,"1","4","18","2","1","4","2",15228.9873046875
1,17,12,"1","2","14","2","3","4","2",28412.193359375
2,27,37,"0","2","12","2","1","3","2",24411.18359375
2,53,30,"1","3","3","2","1","1","6",9104.0439453125
1,53,35,"2","1","2","2","1","3","1",51979.80078125
2,25,19,"1","2","10","2","1","4","2",16007.7666015625
2,45,16,"1","2","1","2","1","4","2",13990.7470703125
2,49,39,"1","1","4","2","3","2","3",12993.640625
1,52,37,"1","3","3","2","1","1","1",15726.146484375
2,49,18,"0","2","10","2","1","3","3",11017.609375
1,35,50,"1","1","3","2","1","4","2",20159.14453125
1,45,45,"0","10","9","2","1","3","2",20681.9375
1,16,5,"2","10","8","6","2","6","3",8845.369140625
2,43,24,"2","1","8","2","1","4","2",17240.6953125
1,53,40,"1","3","8","2","1","2","2",38164.0078125
2,67,12,"0","2","7","2","3","2","3",7690.8774414063
2,24,35,"1","2","17","2","1","2","2",31032.05859375
1,16,40,"1","1","6","2","1","5","2",18725.12890625
2,36,16,"1","2","14","2","1","4","2",18523.66015625
1,61,39,"1","3","18","2","1","2","2",14884.13671875
2,23,42,"2","1","2","2","1","2","2",26295.359375
1,26,39,"2","2","16","2","1","1","2",22446.75
2,60,10,"0","2","8","2","1","1","3",3515.8100585938
2,46,38,"1","1","16","2","1","2","1",9001.7109375
1,50,40,"2","1","18","2","1","3","3",17077.64453125
2,54,32,"1","2","17","2","1","2","2",14517.921875
2,23,37,"2","10","7","2","1","2","2",27407.27734375
1,48,40,"1","2","17","2","1","2","6",14929.9013671875
1,36,40,"1","1","4","2","1","4","2",27700.36328125
2,34,10,"2","1","3","2","1","5","2",28634.201171875
1,26,40,"1","1","4","2","1","4","2",18210.421875
1,40,50,"0","7","3","2","1","5","2",26545.513671875
1,25,60,"0","1","1","2","1","3","7",51101.734375
1,23,38,"2","10","13","2","1","5","2",26207.544921875
1,17,37,"3","1","4","9","3","5","2",18212.19140625
1,48,37,"2","1","16","2","1","4","2",31680.22265625
2,35,35,"1","2","1","2","1","4","3",14946.5703125
2,28,37,"1","2","18","2","1","2","2",33590.11328125
2,63,8,"1","1","18","2","3","1","1",14369.0107421875
1,22,45,"3","1","16","3","2","5","2",195640.265625
2,32,15,"2","1","8","2","1","3","2",23106.26953125
2,40,35,"1","2","9","2","1","2","1",22622.927734375
2,34,37,"1","1","11","2","1","3","2",46644.7734375
1,42,40,"2","1","3","2","1","4","2",26123.85546875
1,55,40,"1","1","3","2","3","2","2",15931.6875
2,27,18,"1","2","16","2","1","4","2",21304.015625
2,23,35,"2","1","3","2","1","2","2",28110.31640625
2,28,10,"2","1","17","2","1","4","6",14032.115234375
2,43,30,"1","1","3","2","1","5","2",14359.2548828125
2,51,37,"2","2","15","2","2","4","3",27523.705078125
2,45,37,"1","2","4","2","2","2","2",18843.3203125
1,33,45,"0","2","2","2","1","3","2",24397.72265625
2,28,35,"1","2","7","2","1","3","3",20335.85546875
2,24,39,"1","2","18","2","1","2","2",17555.923828125
1,27,37,"2","2","3","2","1","2","2",30538.3046875
1,49,39,"2","1","6","2","1","2","2",24148
2,43,40,"2","1","11","2","1","4","2",47659.328125
1,27,44,"1","2","13","2","1","4","3",14871.873046875
2,40,31,"2","1","17","2","1","5","2",16046.900390625
2,26,35,"1","1","17","2","1","2","2",25658.9609375
1,50,37,"1","2","9","2","1","3","2",19260.123046875
2,60,3,"1","1","5","2","2","2","1",11719.4423828125
2,22,37,"3","2","3","2","1","5","1",21513.248046875
2,57,39,"0","2","2","2","1","3","2",12351.41015625
1,26,50,"2","10","3","2","1","3","6",18239.541015625
2,38,38,"1","2","18","2","1","3","2",18649.76171875
2,23,38,"2","10","7","2","1","5","3",31284.828125
1,24,36,"2","1","2","2","1","2","2",24484.52734375
1,57,38,"2","2","3","2","1","2","6",23706.697265625
1,40,37,"1","2","4","2","1","1","2",21044.3046875
1,20,47,"1","2","12","2","1","2","3",8212.9365234375
1,23,35,"3","7","17","2","1","2","7",381.0073547363
1,39,40,"1","2","5","2","1","6","3",20815.96484375
1,15,5,"2","2","16","6","1","5","2",14272.66015625
1,48,39,"1","1","6","2","1","4","2",21934.494140625
1,42,38,"1","1","16","2","1","4","2",26091.998046875
1,22,37,"2","1","6","2","1","4","1",46773.796875
1,50,39,"1","2","4","2","1","3","5",6066.7075195313
2,17,7,"3","11","6","6","1","6","2",35034.49609375
2,56,21,"2","1","9","2","1","2","1",18318.375
1,50,37,"3","2","12","2","1","4","1",32324.728515625
2,42,15,"2","1","6","2","1","5","4",10041.765625
2,43,36,"1","1","2","2","2","3","3",17655.455078125
1,34,40,"1","2","3","2","1","5","2",13522.08203125
2,44,40,"2","1","5","2","1","3","1",20976.642578125
2,56,5,"0","3","3","2","1","1","6",3531.8227539063
1,20,48,"2","1","18","2","1","5","1",11058.853515625
1,51,37,"1","2","7","2","1","2","2",19873.880859375
2,24,37,"1","2","13","2","1","2","2",20769.97265625
1,62,39,"3","3","14","2","1","4","1",56424.21484375
2,25,24,"3","2","10","2","1","4","6",2675.9096679688
2,45,10,"3","10","4","2","1","3","2",23595.958984375
2,25,33,"1","1","1","2","1","2","7",16718.478515625
1,34,44,"0","2","9","2","1","5","2",22196.421875
1,27,40,"1","2","18","2","3","2","2",33590.11328125
1,26,36,"1","2","4","2","1","3","3",15324.537109375
1,22,35,"3","2","4","2","1","4","2",57965.01171875
2,62,20,"1","2","16","2","1","2","1",17051.10546875
1,32,40,"1","2","1","2","1","5","2",34385.01953125
1,56,40,"1","2","17","2","1","5","3",15207.8154296875
1,27,35,"1","1","17","2","1","2","2",25658.9609375
2,23,40,"2","1","8","2","1","2","2",20700
1,27,38,"1","2","10","2","1","2","2",23773.71875
2,44,17,"2","1","3","2","1","5","2",38477.78515625
1,21,40,"1","1","8","2","1","2","6",14636.9345703125
2,16,5,"2","2","17","6","2","5","3",25102.12890625
1,55,37,"1","3","14","2","1","3","3",14125.474609375
2,40,35,"1","1","14","2","1","2","1",46575.3984375
1,34,60,"2","1","11","2","1","2","2",25228.916015625
2,28,37,"2","1","11","2","1","2","2",33381.671875
1,35,39,"1","10","14","2","1","4","2",20063.271484375
2,27,40,"2","1","7","2","1","2","2",39484.203125
1,16,8,"2","1","3","2","2","4","2",15425.134765625
2,42,33,"2","1","8","2","1","4","2",34906.05078125
1,39,37,"2","1","3","2","1","5","2",22384.55078125
1,46,40,"2","1","18","2","1","3","2",50599.8828125
2,38,23,"2","1","3","2","1","2","2",27003.9296875
2,31,42,"2","2","3","2","1","2","2",44410.9453125
2,34,21,"1","2","15","2","1","5","2",18401.556640625
2,51,37,"1","10","2","2","1","3","2",45641.3359375
1,30,36,"1","2","17","2","1","5","4",8153.9428710938
2,30,37,"1","1","3","2","1","1","2",12802.0263671875
1,42,40,"2","1","3","2","1","3","2",12646.90625
1,38,41,"1","2","14","2","1","6","2",26701.751953125
1,32,40,"1","6","4","2","1","3","2",15724.2802734375
1,26,40,"0","6","5","2","1","4","6",22056.099609375
1,31,39,"1","2","17","2","1","4","3",16793.51953125
1,20,35,"2","1","4","2","2","3","1",20756.0546875
2,32,14,"1","4","18","2","3","4","2",19981.787109375
2,38,36,"0","6","14","2","1","1","2",14524.4609375
2,33,9,"1","1","3","2","1","5","3",12711.884765625
2,31,36,"1","10","17","2","1","3","2",28470.58203125
1,55,37,"1","2","9","2","1","3","2",27056.306640625
2,36,55,"2","3","11","2","1","2","2",21791.23828125
1,17,35,"0","11","15","2","1","4","5",31089.552734375
1,27,41,"1","2","1","2","1","1","3",14320.4609375
1,16,40,"1","2","16","9","3","4","2",27254.59765625
2,52,6,"1","1","3","2","1","2","1",1824
2,26,24,"1","2","15","2","1","3","3",9485.5185546875
2,42,37,"2","6","3","2","2","3","3",16078.1982421875
1,31,39,"0","8","4","2","1","5","3",15976.697265625
1,33,40,"2","3","3","2","1","3","1",11256.2783203125
2,45,13,"2","3","16","2","1","3","1",18891.37109375
1,58,37,"1","2","18","2","1","3","2",18005.80859375
1,42,40,"1","2","3","2","1","1","2",18288.064453125
2,19,7,"2","10","3","6","1","6","2",34782.3203125
2,38,20,"1","2","7","2","1","6","1",34625
1,23,35,"3","3","2","2","1","7","2",57410.796875
1,48,46,"1","2","6","2","1","3","2",18595.076171875
1,41,40,"2","2","8","2","1","4","2",8760.015625
1,61,37,"1","1","4","2","1","2","1",13853.62890625
1,57,45,"2","1","3","2","1","2","1",70635.71875
